empty,InChI,MonoisotopicMass,Identifier
,"InChI=1S/C9H9Cl3O2/c1-14-7-5-3-2-4-6(7)8(13)9(10,11)12/h2-5,8,13H,1H3",253.966813,181179
,"InChI=1S/C9H9Cl3O2/c1-2-3-4-5-6(10)7(11)8(14-5)9(12)13/h2-4H2,1H3",253.966813,12210575
,InChI=1S/C10H4Cl2N2O2/c11-8(15)6-3-1-5-2-4-7(9(12)16)14-10(5)13-6/h1-4H,253.964983,12826709
,"InChI=1S/C7H11O2PS3/c1-4-9-10(8)7-12-5(2)6(11-3)13-7/h4H2,1-3H3",253.965879,88115024
,"InChI=1S/C8H9Cl2O3P/c1-2-12-14(10,11)13-8-5-3-7(9)4-6-8/h3-6H,2H2,1H3",253.966636,85702239
,"InChI=1S/C8H9Cl2O3P/c9-6-7-12-14(10,11)13-8-4-2-1-3-5-8/h1-5H,6-7H2",253.966636,13587169
,"InChI=1S/C9H9Cl3O2/c1-2-3-4-7-14-8(13)5-6-9(10,11)12/h2-6H,1,7H2",253.966813,86084300
,"InChI=1S/C9H9Cl3O2/c1-2-3-4-5-14-8(13)6-7(10)9(11)12/h1H,3-6H2",253.966813,4189310
,"InChI=1S/C8H9Cl2O3P/c1-2-11-14(9,10)12-7-5-3-4-6-8(7)13-14/h3-6H,2H2,1H3",253.966636,23413684
,"InChI=1S/C4H7IN4O/c1-8-4(10)9(3-2-5)7-6-8/h2-3H2,1H3",253.966459,13676719
,InChI=1S/C8ClF5N2/c9-1-2(10)3(11)4(12)6-5(1)15-7(13)8(14)16-6,253.967017,21730705
,"InChI=1S/C9H9Cl3O2/c1-13-2-3-14-9-5-7(11)6(10)4-8(9)12/h4-5H,2-3H2,1H3",253.966813,78827567
,"InChI=1S/C9H9Cl3O2/c1-13-5-14-9-6(4-10)2-7(11)3-8(9)12/h2-3H,4-5H2,1H3",253.966813,65364337
,"InChI=1S/C9H9Cl3O2/c1-5(13-2)14-9-7(11)3-6(10)4-8(9)12/h3-5H,1-2H3",253.966813,57311000
